테마명,종목 목록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제습기,삼성전자,파세코,쿠쿠홈시스,신일전자,LG전자,코웨이,위닉스,에스피지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항공/저가 항공사(LCC),대한항공,진에어,에어부산,한진칼,아시아나항공,티웨이항공,AK홀딩스,티웨이홀딩스,제주항공,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증권,한국금융지주,키움증권,미래에셋증권,NH투자증권,DB증권,삼성증권,대신증권,한양증권,교보증권,현대차증권,유안타증권,LS증권,신영증권,SK증권,유진투자증권,유화증권,한화투자증권,코리아에셋투자증권,부국증권,다올투자증권,상상인증권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보톡스(보툴리눔톡신),청담글로벌,파마리서치,휴젤,알에프텍,휴메딕스,디에스케이,메디톡스,한국비엔씨,유바이오로직스,제테마,휴온스,휴온스글로벌,대웅제약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자율주행차,에이스테크,현대차,삼성전자,넥스트칩,SK하이닉스,기아,모트렉스,슈어소프트테크,엔지스테크널러지,파인디지털,삼보모터스,에스오에스랩,한국단자,KG모빌리티,삼현,현대오토에버,모바일어플라이언스,라이콤,퓨런티어,스마트레이더시스템,DH오토웨어,디와이,현대모비스,HL만도,하이비젼시스템,켐트로닉스,유니트론텍,오비고,앤씨앤,KT,세코닉스,MDS테크,아이쓰리시스템,LG전자,엣지파운드리,인포뱅크,칩스앤미디어,포니링크,텔레칩스,팅크웨어,LG이노텍,유니퀘스트,SK텔레콤,퀄리타스반도체,캠시스,한라캐스트,에이테크솔루션,드림텍,NAVER,아이에이,삼성전기,팸텍,코리아에프티,유진로봇,엠씨넥스,옵트론텍,라닉스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은행,JB금융지주,KB금융,우리금융지주,하나금융지주,iM금융지주,기업은행,BNK금융지주,신한지주,카카오뱅크,제주은행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밸류업(25년 기업가치 제고계획 발표),한화시스템,하나마이크론,삼양식품,노을,한국금융지주,한국타이어앤테크놀로지,JB금융지주,넥스트칩,엘앤씨바이오,한미반도체,NICE평가정보,한국항공우주,KG스틸,대신증권,엠플러스,한솔케미칼,우리금융지주,한화에어로스페이스,서울보증보험,삼성화재,일정실업,영원무역,HMM,BGF리테일,이수페타시스,피에스케이,한미약품,하이즈항공,한진칼,셀트리온,현대차증권,이마트,오리온,현대퓨처넷,풀무원,DB손해보험,농심,HS애드,콜마비앤에이치,KX,신한지주,S-Oil,에스에프에이,금호석유화학,코웨이,GS,에스트래픽,티씨케이,콜마홀딩스,DB하이텍,파라다이스,태웅로직스,영원무역홀딩스,한전KPS,슈프리마,DI동일,F&F,파수,현대이지웰,메가스터디교육,KCC,JW중외제약,오스코텍,코미코,유니테크노,효성티앤씨,동원시스템즈,컴투스,KG케미칼,에스티팜,피에스케이홀딩스,솔브레인,현대건설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업인수목적회사(SPAC),IBKS제22호스팩,미래에셋비전스팩3호,대신밸런스제18호스팩,신한제13호스팩,엔에이치스팩29호,대신밸런스제19호스팩,신한제16호스팩,이베스트스팩6호,키움제11호스팩,키움제10호스팩,한국제12호스팩,교보14호스팩,유진스팩11호,하나33호스팩,하나32호스팩,유안타제16호스팩,비엔케이제2호스팩,유안타제15호스팩,에스케이증권제12호스팩,에스케이증권제11호스팩,신영스팩10호,대신밸런스제17호스팩,하나31호스팩,에이치엠씨제7호스팩,DB금융스팩12호,미래에셋비전스팩6호,한국제15호스팩,엔에이치스팩31호,교보16호스팩,미래에셋비전스팩7호,KB제30호스팩,교보17호스팩,디비금융제13호스팩,KB제31호스팩,유안타제17호스팩,한화플러스제5호스팩,하나27호스팩,유안타제12호스팩,상상인제4호스팩,신한제11호스팩,한화플러스제4호스팩,IBKS제21호스팩,대신밸런스제16호스팩,에스케이증권제10호스팩,삼성스팩10호,하나35호스팩,한국제13호스팩,KB제32호스팩,교보15호스팩,엔에이치스팩30호,IBKS제23호스팩,유진스팩10호,IBKS제24호스팩,디비금융제14호스팩,KB제33호스팩,유안타제11호스팩,교보18호스팩,신한제15호스팩,신한제14호스팩,하나34호스팩,하이제8호스팩,유안타제14호스팩,하나29호스팩,KB제29호스팩,KB제25호스팩,미래에셋비전스팩5호,미래에셋비전스팩4호,에스케이증권제9호스팩,신한제12호스팩,KB제27호스팩,하나30호스팩,엘에스스팩1호,에스케이증권제13호스팩,에이치엠씨제6호스팩,삼성스팩11호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐릭터상품,SAMG엔터,블리츠웨이엔터테인먼트,데브시스터즈,오로라,캐리소프트,손오공,대원미디어,리튬포어스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항공기부품,켄코아에어로스페이스,휴니드,대한항공,한국항공우주,LIG넥스원,한국카본,한화에어로스페이스,아스트,하이즈항공,현대위아,솔디펜스,이엠코리아,두산에너빌리티,오르비텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
